customer_id,total_orders,total_items,total_spent,order_id,items,aperitifs,appetizers,entrees,desserts,total,address,city,credit_card_expires,credit_card_number,credit_card_provider,credit_card_security_code,customer_demographics_id,email,name,phone_number,state,zip_code
11,2,15,1325.17,0b1bf0a8-8285-4ff3-9f81-b46a08dd3539,6,Sherry,Escargot,Pizza,Ice Cream,942.09,1993 Susan Route Apt. 457,Patriciaton,12/31,3575246342365499,American Express,905,599671a7-2221-4f98-8775-961c6039387c,dpotts@example.net,Christopher Hale,982-985-8137 ext: 948,Arkansas,59475
11,2,15,1325.17,3302e8c3-7c6b-4132-8d6f-663fe9631bd1,9,Kir,Charcuterie,Vegetarian,Chocolate,383.08,1993 Susan Route Apt. 457,Patriciaton,12/31,3575246342365499,American Express,905,599671a7-2221-4f98-8775-961c6039387c,dpotts@example.net,Christopher Hale,982-985-8137 ext: 948,Arkansas,59475
12,4,26,1693.67,5d5c15a0-8158-4305-b663-b5ef24c805a4,8,Sherry,Soup,Lamb,Cheesecake,294.41,0548 Matthew Drive Suite 872,Port Benjamin,03/28,4713270809319410,JCB 16 digit,550,a5124322-9e99-4381-84a6-087180fed547,kaylaconley@example.net,Andrew Weaver,515-949-0785 ext: 60793,Michigan,70351
12,4,26,1693.67,9534496e-2eae-4c03-86a8-173236f98d41,8,Port,Smoked Salmon,Pasta,Cobbler,256.66,0548 Matthew Drive Suite 872,Port Benjamin,03/28,4713270809319410,JCB 16 digit,550,a5124322-9e99-4381-84a6-087180fed547,kaylaconley@example.net,Andrew Weaver,515-949-0785 ext: 60793,Michigan,70351
12,4,26,1693.67,fecd847c-7376-4f4c-97bb-9bfd47475074,9,Campari and Soda,Pate,Pasta,Tiramisu,737.46,0548 Matthew Drive Suite 872,Port Benjamin,03/28,4713270809319410,JCB 16 digit,550,a5124322-9e99-4381-84a6-087180fed547,kaylaconley@example.net,Andrew Weaver,515-949-0785 ext: 60793,Michigan,70351
12,4,26,1693.67,1a28f226-f3d7-493d-af80-9e62202b9468,1,Kir,Smoked Salmon,Steak,Chocolate Cake,405.14,0548 Matthew Drive Suite 872,Port Benjamin,03/28,4713270809319410,JCB 16 digit,550,a5124322-9e99-4381-84a6-087180fed547,kaylaconley@example.net,Andrew Weaver,515-949-0785 ext: 60793,Michigan,70351
13,1,7,730.58,11b6ea5d-f5b3-4579-a8ad-a177a4b4cc77,7,Negroni,Crudites,Duck,Cobbler,730.58,67206 Nicole Cove,Scottchester,02/30,36232138529174,Diners Club / Carte Blanche,754,c5918a1e-6c6c-4d2d-87e9-43b2721a091f,michaelherman@example.com,Robert Leon,616-293-5073 ext: 643,New York,12197
14,1,2,925.49,fecc8a04-51ad-4188-abfc-ed43bd663db5,2,Aperol Spritz,Soup,Duck,Cookies,925.49,75490 Lisa Hollow Apt. 471,North Traciton,04/33,3575461165129191,Mastercard,808,74fb06eb-bff1-48c5-be74-414cb148522a,garciadonald@example.net,Cassandra Long,,Tennessee,56838
15,2,11,1021.24,8b3b48b8-9666-407b-81e6-3a4f21fbd09c,7,Americano,Pate,Steak,Cheesecake,590.57,71243 Brian Field,Josephborough,09/33,6011304496884065,VISA 13 digit,533,bb50770b-b79f-4a40-8da6-21ff25afcba6,ingramruth@example.net,Catherine Montgomery,878-315-5563 ext: 3795,Illinois,39012
15,2,11,1021.24,6f6313ed-98d0-444b-92e7-9870dffb0285,4,Bellini,Charcuterie,Lamb,Pudding,430.67,71243 Brian Field,Josephborough,09/33,6011304496884065,VISA 13 digit,533,bb50770b-b79f-4a40-8da6-21ff25afcba6,ingramruth@example.net,Catherine Montgomery,878-315-5563 ext: 3795,Illinois,39012
16,1,1,129.45,3385df5d-00fe-4529-be8e-4c39ba551886,1,Sherry,Charcuterie,Lobster,Creme Brulee,129.45,071 Michael Keys Apt. 335,North Katelyn,03/24,3548928942320537,Mastercard,998,0a05bb69-0f3e-4b3a-9260-f63523113dae,christine22@example.net,Roger Randall,,Arizona,01048
17,2,8,1624.74,8e85908c-2e5b-4a87-bcce-46407293ed08,4,Port,Foie Gras,Burger,Sorbet,799.72,128 Amanda Unions Apt. 515,Cameronport,05/30,213100793366916,Diners Club / Carte Blanche,142,b5835650-f215-4eb0-bd4b-f3cbbbd04f83,omedina@example.org,Monica Gould,318-708-1568 ext: 3810,Arkansas,15645
17,2,8,1624.74,7477e58e-7c3f-413e-8359-80d88084c3e1,4,Campari and Soda,Smoked Salmon,Lamb,Ice Cream,825.02,128 Amanda Unions Apt. 515,Cameronport,05/30,213100793366916,Diners Club / Carte Blanche,142,b5835650-f215-4eb0-bd4b-f3cbbbd04f83,omedina@example.org,Monica Gould,318-708-1568 ext: 3810,Arkansas,15645
21,1,9,606.6,23b2c2fc-7368-495d-ae7d-52877917454a,9,Kir,Cheese Plate,Pork,Chocolate,606.6,621 Jerome Hills,Port Nancy,09/33,213161986312836,Mastercard,180,49ffa918-2d5e-4aa8-9622-15082b31ba0c,austinshort@example.net,Matthew Mendez Jr.,,Minnesota,95803
22,1,7,907.18,16bdc697-6686-4b2b-8ef4-075a4348bb34,7,Bellini,Escargot,Lobster,Sorbet,907.18,24054 Baldwin Ways,New Amber,01/32,3597277990775618,Diners Club / Carte Blanche,812,1c8a7ce1-fdf0-40b4-b334-e6c606c05e85,tracyross@example.net,Marcus Jones,610-708-6604 ext: 431,Idaho,88375
23,1,7,410.09,ce0099c4-bd9d-4e02-ba91-194062149332,7,Port,Soup,Duck,Tiramisu,410.09,3472 Gutierrez Key,Phillipsstad,04/24,213106182744548,JCB 15 digit,446,752c2e94-3ebb-45ab-8bff-62753b525819,shelia38@example.org,Travis Peck,704-986-7259 ext: 2239,California,11282
24,1,6,213.56,0e652052-804a-4a6d-b644-803edd3c96bb,6,Sherry,Pate,Steak,Chocolate,213.56,9973 Holder Plaza Suite 846,Hollandhaven,09/29,6572720485311185,Mastercard,026,7eb5dde2-7f81-4f5b-b856-8cdf93c899a2,davisbrandon@example.com,Jason Johnson,359-902-9234 ext: 970,Mississippi,75211
26,1,10,269.99,c68d8e20-77db-4693-b673-75c1ba47a862,10,Vermouth,Salad,Lamb,Cookies,269.99,787 Jones Manors Suite 286,Port Michellefort,09/30,4167751298950840,Mastercard,721,346b8a9d-9836-4dbb-b774-45a693553b7e,morandiana@example.org,Sherry Sanders,502-798-5055 ext: 86823,Iowa,97734
29,1,8,258.77,3b4cdae8-a38f-4110-935c-1f8b7981a9fd,8,Aperol Spritz,Salad,Steak,Creme Brulee,258.77,9735 Whitney Ridges Suite 775,Erinview,01/33,639017605267,JCB 16 digit,965,de371864-097b-4ddc-a9ff-52b66c713bd3,ericastewart@example.org,Yesenia Henderson,215-420-0641,Arizona,79380
30,1,5,987.81,58a93ced-6144-46c6-b7af-5c23de71b1e0,5,Kir,Salad,Chicken,Tiramisu,987.81,5212 Graham Crossing Apt. 597,Derekburgh,01/28,4535492518619360362,Diners Club / Carte Blanche,212,370ffd57-d4b1-491f-a585-4330a2e55965,jamiecampbell@example.net,Leonard Hicks,,Pennsylvania,56012
34,1,5,650.07,8c040e69-60b6-465b-84bb-4970522e9059,5,Negroni,Oysters,Steak,Cobbler,650.07,4255 Simpson Fork,New Brandy,11/26,30580180369113,VISA 13 digit,761,6cb87548-b0c3-4605-bc41-d8f6b6f96b72,sarah83@example.org,Brooke Turner,410-943-5136 ext: 73734,Utah,69989
35,3,20,1507.26,aa599d98-c16c-4de8-9b75-24e204c6cd98,4,Campari and Soda,Pate,Pork,Chocolate,323.22,760 Jimenez Alley,Garciaborough,10/32,4011608766380978259,JCB 16 digit,984,fda57b45-9803-463e-a754-f4c46bde4514,oclements@example.net,Kara Johnson,321-390-4984,Ohio,17904
35,3,20,1507.26,0698ce37-faa7-48a1-a36f-a3ebfe37d7cd,7,Vermouth,Oysters,Fish,Cobbler,426.92,760 Jimenez Alley,Garciaborough,10/32,4011608766380978259,JCB 16 digit,984,fda57b45-9803-463e-a754-f4c46bde4514,oclements@example.net,Kara Johnson,321-390-4984,Ohio,17904
35,3,20,1507.26,9d63b7df-ac3d-4252-bf00-6fe694a2b8b3,9,Aperol Spritz,Cheese Plate,Pizza,Chocolate Cake,757.12,760 Jimenez Alley,Garciaborough,10/32,4011608766380978259,JCB 16 digit,984,fda57b45-9803-463e-a754-f4c46bde4514,oclements@example.net,Kara Johnson,321-390-4984,Ohio,17904
37,1,2,497.03,b79c8c06-35cc-4c37-9b24-c84d3a5435cf,2,Americano,Escargot,Pizza,Cheesecake,497.03,593 Mcpherson Fall,Kevinhaven,08/32,2464906668621348,Diners Club / Carte Blanche,896,18f717e9-40cd-4527-a0e9-68ed1f8b4994,woodsthomas@example.net,Joseph Bruce,432-411-1910 ext: 809,Georgia,54104
38,4,26,2519.98,75393179-98ac-4f04-b630-53277d4d4e2e,8,Port,Soup,Lobster,Ice Cream,801.3,016 Jones Course Apt. 289,New Johntown,05/24,4599839701304,Mastercard,978,9f15e615-c390-41a2-a374-2c4216123524,grantmichael@example.net,Christopher Jones,,Wyoming,56390
38,4,26,2519.98,5b2acadf-cc5c-400a-8fcf-ce37d0b7dd29,5,Americano,Charcuterie,Lamb,Creme Brulee,821.01,016 Jones Course Apt. 289,New Johntown,05/24,4599839701304,Mastercard,978,9f15e615-c390-41a2-a374-2c4216123524,grantmichael@example.net,Christopher Jones,,Wyoming,56390
38,4,26,2519.98,5080ce89-1790-4a61-906d-e9ba2943c36a,7,Americano,Smoked Salmon,Burger,Chocolate,358.64,016 Jones Course Apt. 289,New Johntown,05/24,4599839701304,Mastercard,978,9f15e615-c390-41a2-a374-2c4216123524,grantmichael@example.net,Christopher Jones,,Wyoming,56390
38,4,26,2519.98,5642e169-ca0e-4ecb-82c3-b70ddd26cfa2,6,Kir,Escargot,Pasta,Cookies,539.03,016 Jones Course Apt. 289,New Johntown,05/24,4599839701304,Mastercard,978,9f15e615-c390-41a2-a374-2c4216123524,grantmichael@example.net,Christopher Jones,,Wyoming,56390
39,1,6,127.87,bf01f74f-eb78-47a4-a4e8-c3cdd0b468a5,6,Negroni,Oysters,Pizza,Pie,127.87,,,09/31,4670744779131736155,JCB 15 digit,396,d395c142-eb7b-4bc6-ba2d-f80741d65f81,,Christine Berger,888-684-5983 ext: 18321,,
41,3,18,1620.15,00a4bbaf-0432-4f84-9436-1c4660e5a3de,9,Americano,Foie Gras,Chicken,Pie,484.87,57604 Hendrix Lake,Royside,09/32,342006493042935,JCB 15 digit,533,89d22c16-7a40-4205-bf8e-1bc596946943,scurtis@example.net,Ronald Trujillo,595-874-6038 ext: 41927,West Virginia,96516
41,3,18,1620.15,fa578dac-1732-46da-bbb1-006863f383e4,1,Vermouth,Pate,Steak,Cookies,377.88,57604 Hendrix Lake,Royside,09/32,342006493042935,JCB 15 digit,533,89d22c16-7a40-4205-bf8e-1bc596946943,scurtis@example.net,Ronald Trujillo,595-874-6038 ext: 41927,West Virginia,96516
41,3,18,1620.15,3f1a4876-c485-4968-ad61-68d74973edd2,8,Kir Royale,Caviar,Lobster,Sorbet,757.4,57604 Hendrix Lake,Royside,09/32,342006493042935,JCB 15 digit,533,89d22c16-7a40-4205-bf8e-1bc596946943,scurtis@example.net,Ronald Trujillo,595-874-6038 ext: 41927,West Virginia,96516
44,1,7,977.32,c68d047f-77e4-4334-a701-6469f4ab2cb3,7,Aperol Spritz,Foie Gras,Pasta,Pudding,977.32,993 Clark Union,Lake Elizabeth,01/33,6592168191862677,Mastercard,332,6f1a5569-45db-4e94-9330-c800b48fec21,taylorball@example.com,Nathan Thomas,493-395-4642 ext: 816,Vermont,96746
46,2,8,1014.5400000000001,74bc97e7-13e0-4483-a591-060776c12e4a,3,Sherry,Foie Gras,Pasta,Tiramisu,786.7,2794 Martinez Landing,Davidhaven,05/30,4738672868729663,JCB 16 digit,690,a40c05f9-be39-47d4-9978-7c590e6e0fbf,carrollerik@example.org,Jennifer Johnson,729-325-3020,Kentucky,08603
46,2,8,1014.5400000000001,1174f688-3ea5-4362-bda9-7cf33a96b718,5,Kir,Soup,Burger,Sorbet,227.84,2794 Martinez Landing,Davidhaven,05/30,4738672868729663,JCB 16 digit,690,a40c05f9-be39-47d4-9978-7c590e6e0fbf,carrollerik@example.org,Jennifer Johnson,729-325-3020,Kentucky,08603
47,2,12,1051.97,7b7b1cea-b7d5-49b5-b5c6-e57c4d5d5fb9,9,Bellini,Smoked Salmon,Vegetarian,Cookies,862.28,1149 Jeremy Islands,Brownshire,08/32,6567432433169379,JCB 15 digit,250,c8cd82b1-f513-4721-9f33-e641218a0c3f,batesamanda@example.org,Carol Fernandez,844-271-9875,Delaware,22456
47,2,12,1051.97,337869e8-3076-42b5-9ed3-7431bd23d945,3,Kir,Smoked Salmon,Lamb,Tiramisu,189.69,1149 Jeremy Islands,Brownshire,08/32,6567432433169379,JCB 15 digit,250,c8cd82b1-f513-4721-9f33-e641218a0c3f,batesamanda@example.org,Carol Fernandez,844-271-9875,Delaware,22456
49,1,4,464.79,4341c5bc-03a1-40e2-a4c1-95c254d08248,4,Negroni,Pate,Pasta,Pie,464.79,,,09/29,676321030782,American Express,387,fb4545ca-cf31-4d56-a49a-e62f8e163914,smithstephen@example.net,Teresa Coleman,,,
50,2,10,1399.4299999999998,30933275-2871-416f-8926-ef6caae28f16,5,Aperol Spritz,Crudites,Steak,Cobbler,913.54,345 Daniels Shore,New Christinabury,02/24,4535322660341026105,Discover,366,febb756d-036c-433b-9985-bd1ffad6ba14,,Seth Curry,730-812-7028,Pennsylvania,07858
50,2,10,1399.4299999999998,f2173497-ef4b-4055-bd64-7399583af8a6,5,Americano,Crudites,Pizza,Tiramisu,485.89,345 Daniels Shore,New Christinabury,02/24,4535322660341026105,Discover,366,febb756d-036c-433b-9985-bd1ffad6ba14,,Seth Curry,730-812-7028,Pennsylvania,07858
51,2,3,1452.6399999999999,7870b991-24b4-4eb1-aa0b-fe3ff0ced513,1,Negroni,Pate,Duck,Ice Cream,808.74,34642 Connor Roads,Philipland,10/33,2265598301907902,VISA 13 digit,4815,9c663012-409b-44d9-818a-9547bb88988b,,Terry Short,206-542-8671,New Mexico,34660
51,2,3,1452.6399999999999,53817cd4-15ac-495d-87e5-5126b21bc886,2,Champagne,Crudites,Lobster,Cobbler,643.9,34642 Connor Roads,Philipland,10/33,2265598301907902,VISA 13 digit,4815,9c663012-409b-44d9-818a-9547bb88988b,,Terry Short,206-542-8671,New Mexico,34660
52,2,8,1315.77,f10e6acb-ea32-49d8-aa54-5955ddf77686,3,Kir Royale,Soup,Fish,Chocolate Cake,765.1,23357 Andrew Wall Suite 108,Henryport,12/25,6585171050811321,Maestro,439,47ea3f44-b7b4-454e-8068-9204aabe7507,,Rachel Smith,,Iowa,87568
52,2,8,1315.77,33f2db56-0803-4d12-a52c-fe61d7d1a2ff,5,Americano,Soup,Chicken,Pie,550.67,23357 Andrew Wall Suite 108,Henryport,12/25,6585171050811321,Maestro,439,47ea3f44-b7b4-454e-8068-9204aabe7507,,Rachel Smith,,Iowa,87568
53,2,12,1140.1299999999999,d61ee396-77d6-4b98-a2a2-689287b22f07,8,Bellini,Escargot,Lamb,Creme Brulee,668.42,5107 Courtney Throughway Apt. 652,Rossview,01/28,4156332930177,JCB 16 digit,517,a9215e24-881c-467f-9371-e490258d53e9,kimberlygonzales@example.com,Robert Sawyer,666-242-6433 ext: 772,Kentucky,93709
53,2,12,1140.1299999999999,94385d26-8927-4378-bf04-f64a95a52ce4,4,Bellini,Charcuterie,Pizza,Cheesecake,471.71,5107 Courtney Throughway Apt. 652,Rossview,01/28,4156332930177,JCB 16 digit,517,a9215e24-881c-467f-9371-e490258d53e9,kimberlygonzales@example.com,Robert Sawyer,666-242-6433 ext: 772,Kentucky,93709
55,3,18,2179.14,66ebc270-9eed-4395-ac0d-9865b665b996,5,Americano,Smoked Salmon,Burger,Tiramisu,687.87,721 Elizabeth Village Suite 381,East Sean,08/30,4709963937101786820,VISA 16 digit,9534,31bcf529-1711-4404-a9d3-d889ac113f01,patricia44@example.net,Anthony Johnson,434-566-8843 ext: 0219,Montana,93190
55,3,18,2179.14,69b30b27-33f3-4cc0-a72d-cc88d2bdb7d7,5,Port,Pate,Steak,Ice Cream,753.15,721 Elizabeth Village Suite 381,East Sean,08/30,4709963937101786820,VISA 16 digit,9534,31bcf529-1711-4404-a9d3-d889ac113f01,patricia44@example.net,Anthony Johnson,434-566-8843 ext: 0219,Montana,93190
55,3,18,2179.14,babe94d9-86a3-4879-aa35-d7ebddb16d08,8,Kir Royale,Smoked Salmon,Vegetarian,Sorbet,738.12,721 Elizabeth Village Suite 381,East Sean,08/30,4709963937101786820,VISA 16 digit,9534,31bcf529-1711-4404-a9d3-d889ac113f01,patricia44@example.net,Anthony Johnson,434-566-8843 ext: 0219,Montana,93190
56,1,3,182.78,13cb6019-efdc-4e37-a0ec-323ed8950b07,3,Americano,Pate,Chicken,Chocolate,182.78,64552 Leslie Junctions Suite 390,Williamsfurt,10/26,213184029472615,Maestro,039,386f293b-3904-4a59-a27b-cacfce436386,smithlorraine@example.org,Tonya Morgan,,Michigan,16812
57,4,21,3073.0,63eeb5d1-eb43-4bb3-8a7e-243f3ef5ec87,8,Kir Royale,Smoked Salmon,Duck,Chocolate Cake,995.21,0309 Robert Villages Apt. 669,Martinezfurt,10/33,4413923057259101926,Maestro,481,13797361-77cb-46ea-9965-7d000d0569e4,carrbrandi@example.com,Christopher Abbott,709-226-2758,Alabama,77355
57,4,21,3073.0,0a542cb3-4e6d-4433-a32e-288b8c4c4443,5,Champagne,Crudites,Pizza,Creme Brulee,987.75,0309 Robert Villages Apt. 669,Martinezfurt,10/33,4413923057259101926,Maestro,481,13797361-77cb-46ea-9965-7d000d0569e4,carrbrandi@example.com,Christopher Abbott,709-226-2758,Alabama,77355
57,4,21,3073.0,3cfee584-3f3c-4d29-b92d-1480f2137b27,3,Kir,Smoked Salmon,Lamb,Pie,421.48,0309 Robert Villages Apt. 669,Martinezfurt,10/33,4413923057259101926,Maestro,481,13797361-77cb-46ea-9965-7d000d0569e4,carrbrandi@example.com,Christopher Abbott,709-226-2758,Alabama,77355
57,4,21,3073.0,e3da0883-66ec-4adc-a548-be4bf95e8219,5,Bellini,Caviar,Lamb,Tiramisu,668.56,0309 Robert Villages Apt. 669,Martinezfurt,10/33,4413923057259101926,Maestro,481,13797361-77cb-46ea-9965-7d000d0569e4,carrbrandi@example.com,Christopher Abbott,709-226-2758,Alabama,77355
58,1,4,665.94,427634fe-f642-4b76-a6f4-b4d5bcdc7cdb,4,Negroni,Smoked Salmon,Duck,Ice Cream,665.94,13490 Villa Ville Apt. 859,Lake Sharonhaven,01/34,30350454116511,JCB 16 digit,880,e6017a01-f51c-421d-9a15-d2c8f448ebf9,susananderson@example.com,Maureen Scott,457-602-4098 ext: 7030,Massachusetts,38113
59,2,4,1595.01,fdfcbbf1-0752-4407-adfb-2d1d734e4fa9,2,Port,Charcuterie,Pork,Creme Brulee,779.75,751 Dustin Dale Apt. 600,Mcgeeview,08/30,4694238971018632374,JCB 16 digit,617,d5b78133-95d7-4c8c-899c-b076dc8c15f7,erika08@example.net,Susan Hester,,Florida,12447
59,2,4,1595.01,b436ab74-d81e-4e55-88e2-e6800321d093,2,Negroni,Crudites,Duck,Sorbet,815.26,751 Dustin Dale Apt. 600,Mcgeeview,08/30,4694238971018632374,JCB 16 digit,617,d5b78133-95d7-4c8c-899c-b076dc8c15f7,erika08@example.net,Susan Hester,,Florida,12447
61,1,2,546.0,6442e5bd-0830-4ac9-93fb-14326e1bd269,2,Vermouth,Crudites,Lobster,Sorbet,546.0,421 Taylor Field,Kaitlynchester,08/33,180044821811940,VISA 19 digit,741,758a896c-3b1e-44bf-a541-4df574d86a4a,barbara48@example.com,Julie Gonzalez,,Virginia,99073
63,1,1,919.87,3bb392b2-7932-4c1a-9502-a58088e9e42e,1,Sherry,Foie Gras,Duck,Cookies,919.87,8623 Smith Locks,North Hayleymouth,03/31,501853687405,JCB 16 digit,7006,ed60ea89-a798-4e09-a42d-2e7e0fe71a61,houselaura@example.org,Tina Robertson,470-343-1466 ext: 106,West Virginia,69779
64,1,5,783.32,46476d79-d8c0-4971-8f18-b82d481b4ff9,5,Negroni,Escargot,Chicken,Cheesecake,783.32,1560 Patterson Springs Suite 348,Lake Julie,06/30,3594544962226935,VISA 16 digit,819,71e06445-e67f-49cc-96ee-358a2ff7e358,nancy65@example.org,Deborah Morton,670-321-9654 ext: 06597,Oklahoma,70676
65,1,6,544.39,c084337c-4bc3-4226-976d-5642717e884e,6,Vermouth,Pate,Steak,Creme Brulee,544.39,084 Maldonado Field Suite 248,West Albert,07/24,6560959549237440,VISA 13 digit,841,1a2f87ee-3524-454d-88bd-48ed3adc25f7,,Kathleen Bryan,976-276-1834,Alaska,98988
66,2,8,232.81,1f4750b7-500a-4668-826f-7424eb8b23bb,5,Americano,Soup,Pasta,Sorbet,125.49,126 Ann Dale,West Dylanton,01/28,373495736193500,VISA 19 digit,069,ea794aec-b7e9-4d11-b31f-cf4dfe6bfef4,,John Osborne,252-557-9837,Idaho,21502
66,2,8,232.81,a42d0291-f754-4459-9776-72afe7e23bf6,3,Port,Pate,Vegetarian,Ice Cream,107.32,126 Ann Dale,West Dylanton,01/28,373495736193500,VISA 19 digit,069,ea794aec-b7e9-4d11-b31f-cf4dfe6bfef4,,John Osborne,252-557-9837,Idaho,21502
68,1,4,833.03,5082d51d-29bb-47ce-9400-f4ce636fdaba,4,Kir Royale,Cheese Plate,Steak,Sorbet,833.03,8946 Valerie Causeway,South Jay,09/26,378384290290792,Diners Club / Carte Blanche,024,edf80d64-3f0d-41d5-bc1d-1a80de3cb987,abennett@example.com,Richard Kelley,897-215-6227,Nebraska,06186
69,4,24,2294.43,5bc705e3-b370-43c8-9362-00b89e16db4a,7,Port,Soup,Chicken,Chocolate,744.89,326 David Centers Suite 704,South Garyfurt,02/32,675999387185,American Express,883,8698c6e2-40b2-48a1-97d1-7bc729f646f9,sanderson@example.com,Crystal Wood,493-882-4432 ext: 49952,Colorado,88718
69,4,24,2294.43,124d036a-ad8b-45de-a008-5c1370f8daa6,8,Aperol Spritz,Cheese Plate,Duck,Ice Cream,249.28,326 David Centers Suite 704,South Garyfurt,02/32,675999387185,American Express,883,8698c6e2-40b2-48a1-97d1-7bc729f646f9,sanderson@example.com,Crystal Wood,493-882-4432 ext: 49952,Colorado,88718
69,4,24,2294.43,3d673f80-5e21-4433-8015-1238569f25c2,6,Champagne,Smoked Salmon,Pizza,Sorbet,352.77,326 David Centers Suite 704,South Garyfurt,02/32,675999387185,American Express,883,8698c6e2-40b2-48a1-97d1-7bc729f646f9,sanderson@example.com,Crystal Wood,493-882-4432 ext: 49952,Colorado,88718
69,4,24,2294.43,49148d97-06ff-46b3-9fa6-42ee482e5fae,3,Vermouth,Crudites,Lobster,Chocolate,947.49,326 David Centers Suite 704,South Garyfurt,02/32,675999387185,American Express,883,8698c6e2-40b2-48a1-97d1-7bc729f646f9,sanderson@example.com,Crystal Wood,493-882-4432 ext: 49952,Colorado,88718
72,2,14,1680.47,34406928-a084-48bf-b146-e2926a41f19b,5,Americano,Charcuterie,Lamb,Chocolate Cake,791.63,9836 Misty Dale,Port Christine,12/27,4318664846174102,VISA 13 digit,628,51be59de-238c-479a-82c4-3e058622fa67,,George Warren,282-784-5303,Virginia,24903
72,2,14,1680.47,d7deeeae-17d2-4671-b38e-d577d65423bc,9,Vermouth,Foie Gras,Steak,Chocolate Cake,888.84,9836 Misty Dale,Port Christine,12/27,4318664846174102,VISA 13 digit,628,51be59de-238c-479a-82c4-3e058622fa67,,George Warren,282-784-5303,Virginia,24903
73,1,1,984.49,1e8fd810-d85a-4a0f-9b37-2e42a1b6afe7,1,Sherry,Caviar,Chicken,Ice Cream,984.49,85822 Monique Plains,West Kristinaland,12/30,4460055106396517,Maestro,015,56b66a0e-c786-4b48-9241-4786ccc161ef,sholmes@example.org,Kelly Kelly,427-731-5344,Nevada,56706
